# 宠物维护保养200条（纯保养维度，分通用基础/饮食喂养/日常清洁/健康养护/环境适配/长期外出/疾病预防，覆盖猫狗通用全场景日常维护）
## 通用基础护理（50条）
1. 每日观察宠物精神状态、食欲和排便情况，发现异常及时记录，为就医提供依据。
2. 每日给宠物提供新鲜干净饮水，水碗早晚各清洗一次，避免细菌滋生。
3. 每日检查宠物眼睛，用干净湿棉片从内眼角向外轻拭，清理分泌物，方向单一避免交叉感染。
4. 每日检查宠物耳朵，无异味、无红肿即可；耳道脏时用宠物专用洗耳液清理，避免棉签捅入。
5. 每日检查宠物口腔，观察有无口臭、牙龈红肿、牙结石，早发现问题早处理。
6. 每日观察宠物爪子，检查趾缝有无异物、伤口、红肿，外出回家后重点检查脚底。
7. 每日与宠物互动10-15分钟，消耗精力、增进感情，及时发现行为异常。
8. 每周给宠物梳毛1-3次（长毛每日），清理浮毛、毛结，减少掉毛和毛球。
9. 每周检查宠物皮肤，拨开被毛观察有无红疹、脱屑、寄生虫和异常掉毛。
10. 每周给宠物称重一次，记录体重变化，波动过大需排查饮食或健康问题。
11. 每周清洁宠物食盆水盆，用中性洗涤剂清洗后清水冲净，定期高温消毒。
12. 每周清洗宠物窝垫、毯子，晾晒干燥，防止螨虫和细菌滋生。
13. 每周检查宠物指甲长度，过长及时修剪，避免卷曲刺入肉垫。
14. 每月为宠物修剪脚底毛（尤其长毛犬），防止打滑和杂物藏匿。
15. 每月检查宠物驱虫记录，按体内3个月、体外1个月的周期准时驱虫。
16. 每月检查宠物疫苗本，到期及时补种，记录好下次接种时间。
17. 每月给宠物梳理腹部、腋下等易打结部位，预防毛结引发皮肤问题。
18. 定期清理宠物活动区域，扫地、吸毛、消毒，保持环境卫生。
19. 宠物用具（食盆、玩具、牵引绳）定期更换老化破损的，防止划伤和误吞。
20. 避免宠物接触刺激性化学品（消毒液、杀虫剂），使用后彻底通风。
21. 宠物出现轻微异常时，先观察记录，不盲目自行用药，严重及时就医。
22. 带宠物外出回家后，用湿巾擦拭爪子和腹部，防止带回尘土和虫卵。
23. 避免让宠物在潮湿、阴冷环境中久待，防止关节和皮肤问题。
24. 每日检查宠物排泄物颜色、形态、次数，异常时及时排查原因。
25. 定期给宠物更换饮用水源位置，保持水碗数量充足（多宠家庭尤其重要）。
26. 避免宠物接触电线、插座和危险工具，防止触电和受伤。
27. 多宠家庭定期隔离检查，防止疾病在宠物间交叉传播。
28. 宠物常玩的玩具定期清洗消毒，破损的及时更换，防止误吞碎片。
29. 定期给宠物称量食物克数，控制食量，避免过度喂养导致肥胖。
30. 避免在宠物进食、睡觉时打扰，保证它有安全、安静的休息空间。
31. 定期查看宠物身上有无蜱虫、跳蚤，发现后及时用药驱除并清理环境。
32. 换季时注意宠物保暖/散热，避免温差过大引发呼吸道疾病。
33. 宠物洗澡频率适中（猫1-3个月、狗2-4周），过勤会破坏皮肤屏障。
34. 定期清洁宠物梳子、指甲剪等护理工具，消毒后存放。
35. 避免让宠物接触其他病患动物，外出时保持适当距离。
36. 定期给宠物补充新鲜玩具和磨牙/磨爪用品，满足啃咬天性。
37. 宠物生病康复期，加强营养、减少运动，遵医嘱复查。
38. 定期检查宠物项圈/胸背带松紧度，避免过紧勒伤或过松脱落。
39. 避免在高温时段遛狗，防止中暑，地面过烫时用脚背试温后再走。
40. 定期清理宠物饮水器、自动喂食器的水垢和残留，防止细菌滋生。
41. 宠物有异味时，先排查口腔、耳道、皮肤、肛门腺，对症处理。
42. 定期修剪宠物眼周过长毛发，防止刺激眼睛引起流泪。
43. 避免喂食宠物来历不明的自制粮和路边食物，防止食物中毒。
44. 定期为宠物做肛门腺检查（尤其狗），堵塞时请专业人士处理。
45. 宠物外出活动后，检查全身有无伤口、异物、蜱虫，及时处理。
46. 定期清理宠物笼具、猫爬架，防止灰尘和寄生虫滋生。
47. 避免让宠物暴饮暴食，进食过快时使用慢食碗辅助。
48. 定期记录宠物驱虫、疫苗、体检、用药的完整档案，方便追溯。
49. 宠物出现异常舔舐、啃咬某部位时，及时检查该部位皮肤和关节。
