"用户ID","宠物档案","健康状况","饮食与体重","行为与建议","时间"
"1001","金毛 | 3岁 | 65㎡公寓","体检正常 | 髋关节发育良好 | 牙齿轻度牙结石","日均喂食380g | 体重28.5kg(标准) | 饮水充足","日均外出2次共90分钟 | 掉毛季中度 | 服从性优良","2025-01"
"1002","英短 | 2岁 | 70㎡公寓","体检正常 | 体重略超0.3kg | 牙齿清洁","日均喂食65g | 体重4.8kg(微胖) | 饮水偏少","活动量中等 | 使用猫爬架频繁 | 偶有抓沙发","2025-01"
"1003","柯基 | 5岁 | 90㎡三居","腰椎轻度退化 | 体重正常 | 耳道偶有分泌物","日均喂食260g | 体重11.2kg(标准) | 食欲稳定","日均外出3次共75分钟 | 掉毛明显 | 需控制跳跃","2025-01"
"1004","布偶 | 4岁 | 85㎡三居","体检正常 | 毛球症易发期 | 眼睛偶有泪痕","日均喂食70g | 体重4.3kg(标准) | 饮水正常","活动量偏低 | 化毛膏使用规律 | 性格温顺","2025-01"
"1005","泰迪 | 8岁 | 120㎡","牙齿牙结石中度 | 心脏B1期 | 关节偶有僵硬","日均喂食150g | 体重5.8kg(标准) | 饮水正常","日均外出2次共40分钟 | 运动量偏低 | 建议关节护理","2025-01"
"1006","边牧 | 2岁 | 150㎡别墅","体检全项优秀 | 体能充沛 | 无异常","日均喂食420g | 体重19.5kg(标准) | 饮水充足","日均活动120分钟+ | 飞盘训练 | 高能量犬种","2025-01"
"1007","美短 | 1岁 | 55㎡一居","体检正常 | 体重略轻 | 牙齿健康","日均喂食55g | 体重3.6kg(偏瘦) | 饮水正常","活泼好动 | 啃咬线状物风险 | 需增加营养","2025-01"
"1008","比熊 | 6岁 | 100㎡三居","白内障早期 | 牙齿良好 | 皮肤干燥","日均喂食180g | 体重5.2kg(标准) | 饮水正常","日均外出2次共50分钟 | 泪痕中度 | 需眼部护理","2025-01"
"1009","橘猫 | 7岁 | 80㎡两居","体重偏胖1kg | 关节偶有不适 | 牙齿中度结石","日均喂食75g | 体重6.0kg(超重) | 饮水偏少","活动量低 | 嗜睡增加 | 急需减重方案","2025-01"
"1010","拉布拉多 | 4岁 | 130㎡四居","耳道感染痊愈后 | 髋关节良好 | 牙齿健康","日均喂食380g | 体重27.8kg(标准) | 饮水充足","日均外出2次共100分钟 | 服从性优良 | 偶扑人","2025-01"
"1001","金毛 | 3岁 | 65㎡公寓","体检正常 | 髋关节发育良好 | 牙齿轻度牙结石","日均喂食380g | 体重28.6kg(标准) | 饮水充足","日均外出2次共95分钟 | 掉毛季中度 | 服从性优良","2025-02"
"1002","英短 | 2岁 | 70㎡公寓","体检正常 | 体重略超0.4kg | 牙齿清洁","日均喂食65g | 体重4.9kg(微胖) | 饮水偏少","活动量中等 | 使用猫爬架频繁 | 偶有抓沙发","2025-02"
"1003","柯基 | 5岁 | 90㎡三居","腰椎轻度退化稳定 | 体重正常 | 耳道分泌物已改善","日均喂食255g | 体重11.3kg(标准) | 食欲稳定","日均外出3次共80分钟 | 掉毛明显 | 需继续控制跳跃","2025-02"
"1004","布偶 | 4岁 | 85㎡三居","体检正常 | 毛球症缓解 | 泪痕改善","日均喂食70g | 体重4.3kg(标准) | 饮水正常","活动量略增 | 化毛膏使用规律 | 性格温顺","2025-02"
"1005","泰迪 | 8岁 | 120㎡","牙齿牙结石中度 | 心脏B1期稳定 | 关节僵硬偶发","日均喂食150g | 体重5.8kg(标准) | 饮水正常","日均外出2次共40分钟 | 运动量偏低 | 建议加关节补充剂","2025-02"
"1006","边牧 | 2岁 | 150㎡别墅","体检全项优秀 | 体能充沛 | 无异常","日均喂食430g | 体重19.6kg(标准) | 饮水充足","日均活动125分钟+ | 飞盘训练 | 高能量犬种","2025-02"
"1007","美短 | 1岁 | 55㎡一居","体检正常 | 体重回升至标准 | 牙齿健康","日均喂食60g | 体重3.8kg(标准) | 饮水正常","活泼好动 | 啃咬线状物已纠正 | 营养改善见效","2025-02"
"1008","比熊 | 6岁 | 100㎡三居","白内障稳定 | 牙齿良好 | 皮肤干燥缓解","日均喂食180g | 体重5.2kg(标准) | 饮水正常","日均外出2次共50分钟 | 泪痕中度 | 鱼油补充中","2025-02"
"1009","橘猫 | 7岁 | 80㎡两居","体重下降0.2kg | 关节尚可 | 牙齿中度结石","日均喂食70g | 体重5.8kg(偏胖) | 饮水略增","活动量略增 | 嗜睡改善 | 减重初见成效","2025-02"
"1010","拉布拉多 | 4岁 | 130㎡四居","耳道健康 | 髋关节良好 | 牙齿健康","日均喂食380g | 体重27.9kg(标准) | 饮水充足","日均外出2次共105分钟 | 服从性优良 | 偶扑人","2025-02"
"1001","金毛 | 3岁 | 65㎡公寓","春季体检正常 | 髋关节发育良好 | 牙齿已洁牙","日均喂食380g | 体重28.4kg(标准) | 饮水充足","日均外出2次共100分钟 | 掉毛加重 | 服从性优良","2025-03"
"1002","英短 | 2岁 | 70㎡公寓","体检正常 | 体重略超0.5kg | 牙齿清洁","日均喂食62g | 体重5.0kg(微胖) | 饮水偏少","活动量下降 | 猫爬架使用减少 | 抓沙发增加","2025-03"
"1003","柯基 | 5岁 | 90㎡三居","腰椎稳定 | 体重正常 | 耳道健康","日均喂食250g | 体重11.3kg(标准) | 食欲稳定","日均外出3次共85分钟 | 掉毛明显 | 跳跃已控制","2025-03"
"1004","布偶 | 4岁 | 85㎡三居","体检正常 | 毛球症已控制 | 泪痕消失","日均喂食70g | 体重4.4kg(标准) | 饮水正常","活动量正常 | 化毛膏规律 | 性格温顺","2025-03"
"1005","泰迪 | 8岁 | 120㎡","牙齿牙结石中度待洁牙 | 心脏B1期 | 关节僵硬春季偶发","日均喂食148g | 体重5.9kg(微胖) | 饮水正常","日均外出2次共45分钟 | 运动量略增 | 关节补充剂起效","2025-03"
"1006","边牧 | 2岁 | 150㎡别墅","体检全项优秀 | 体能充沛 | 无异常","日均喂食430g | 体重19.4kg(标准) | 饮水充足","日均活动130分钟+ | 敏捷训练 | 高能量犬种","2025-03"
"1007","美短 | 1岁 | 55㎡一居","体检正常 | 体重标准 | 牙齿健康","日均喂食62g | 体重3.9kg(标准) | 饮水正常","活泼好动 | 无异食癖 | 进入成猫阶段","2025-03"
"1008","比熊 | 6岁 | 100㎡三居","白内障稳定 | 牙齿良好 | 皮肤健康","日均喂食180g | 体重5.1kg(标准) | 饮水正常","日均外出2次共55分钟 | 泪痕减轻 | 鱼油效果显现","2025-03"
"1009","橘猫 | 7岁 | 80㎡两居","体重继续下降 | 关节尚可 | 牙齿中度结石","日均喂食68g | 体重5.6kg(偏胖) | 饮水正常","活动量正常 | 嗜睡正常 | 减重效果良好","2025-03"
